epoch,training loss,training accuracy,eval loss,eval accuracy
1,0.07497667868016503,0.3529185950756073,0.08317041072462286,0.2964285612106323
2,0.0508522576267635,0.5138248801231384,0.0684556355965989,0.36071428656578064
3,0.04823794894595666,0.5430107712745667,0.06958083755203656,0.37142857909202576
4,0.05081024294441563,0.5364823341369629,0.08981849694890635,0.3821428716182709
5,0.04766149326769804,0.5706605315208435,0.08762259854535971,0.4000000059604645
6,0.044207609789345854,0.6006144285202026,0.09497584610113076,0.4124999940395355
7,0.04769390294994993,0.5802611112594604,0.0660514530326639,0.46071428060531616
8,0.04400227004848135,0.6009984612464905,0.09858029958392893,0.3642857074737549
9,0.04552141926072526,0.6105991005897522,0.08090126732630389,0.4714285731315613
10,0.0404444801779936,0.632488489151001,0.07648595257529191,0.4214285612106323
11,0.046448217421632756,0.6036866307258606,0.0756391240549939,0.4446428716182709
12,0.0523604139479624,0.5879416465759277,0.071841854176351,0.4553571343421936
13,0.04841422654699803,0.6136713027954102,0.10910358067069735,0.38035714626312256
14,0.04822991414141545,0.6129032373428345,0.07226956465414593,0.48750001192092896
15,0.05126453322657425,0.605222761631012,0.07283145003020763,0.47678571939468384
16,0.05221673908046863,0.6002303957939148,0.09271329864859582,0.45892858505249023
17,0.04994238125655325,0.608678936958313,0.10929353407451085,0.4178571403026581
18,0.055084180081128704,0.5944700241088867,0.08073388503066131,0.4553571343421936
19,0.05559457499768511,0.6025345325469971,0.11783382429608277,0.41607144474983215
20,0.05187107666113776,0.6251919865608215,0.0761405523866415,0.47678571939468384
